T1,Q1,AT1,I1,V1
292.15,2.4784595231533,0,15,-3.82000163128522
292.15,2.47795392227383,0,15,-3.82005460390459
292.15,2.47745233761808,0,15,-3.82010736684652
292.15,2.47695471889091,0,15,-3.82015992267321
292.15,2.47646101638625,0,15,-3.82021227391687
292.15,2.47597118098079,0,15,-3.82026442307999
292.15,2.47548516412814,0,15,-3.82031637263573
292.15,2.47500291785261,0,15,-3.8203681250282
292.15,2.47452439474347,0,15,-3.82041968267283
292.15,2.47404954794891,0,15,-3.82047104795669
292.15,2.47357833117033,0,15,-3.82052222323879
292.15,2.47311069865628,0,15,-3.82057321085039
292.15,2.47264660519701,0,15,-3.82062401309536
292.15,2.47218600611845,0,15,-3.82067463225046
292.15,2.47172885727676,0,15,-3.82072507056563
292.15,2.47127511505261,0,15,-3.82077533026432
292.15,2.47082473634558,0,15,-3.8208254135438
292.15,2.47037767856867,0,15,-3.8208753225754
292.15,2.4699338996428,0,15,-3.82092505950489
292.15,2.4694933579913,0,15,-3.82097462645269
292.15,2.46905601253474,0,15,-3.82102402551421
292.15,2.46862182268521,0,15,-3.82107325876009
292.15,2.46819074834139,0,15,-3.82112232823653
292.15,2.46776274988298,0,15,-3.82117123596553
292.15,2.46733778816571,0,15,-3.82121998394518
292.15,2.46691582451612,0,15,-3.82126857414992
292.15,2.46649682072632,0,15,-3.82131700853083
292.15,2.46608073904898,0,15,-3.82136528901588
292.15,2.46566754219236,0,15,-3.82141341751018
292.15,2.46525719331527,0,15,-3.82146139589628
292.15,2.46484965602204,0,15,-3.82150922603438
292.15,2.4644448943578,0,15,-3.82155690976262
292.15,2.46404287280347,0,15,-3.8216044488973
292.15,2.46364355627105,0,15,-3.82165184523317
292.15,2.46324691009866,0,15,-3.82169910054363
292.15,2.46285290004616,0,15,-3.821746216581
292.15,2.46246149229012,0,15,-3.82179319507676
292.15,2.46207265341931,0,15,-3.82184003774177
